channel_id,view_count,like_count,comment_count
UCm3JI-wnBrQ3TzK-sJKj7cg,21678,373,168
UCmLo7ab5A3vnzPyiZH3y7nw,815194,48855,3824
UCmrvp_fhHBTyQvGuEmYRdwg,29715,330,260
UCmzjlyTMvUVzfMXb73kektw,294111,6639,1724
UCn7wWR5KnpX_N6ZaBNuyVYw,753561,6179,4672
UCnEEC46gghhncsBjuxgxEvw,12948,424,260
UCoJ9ql-WffntQ5Pa8SdkllA,736939,28515,8681
UCoYFo3L74njkPCbj6LyiexA,477719,17163,1902
UCoda_2_svgWv4iUhqS1K3yA,144090,4464,1046
UCogPyel5zmcX7dRP88vY9lA,20670,396,125
UCpPbcfwq0wOpWrC0gBs73tQ,1690083,84913,7628
UCpTkQ0QEm6qPNY28F91Mubw,26959,982,129
UCqQGYPEU7DiNA6bUUmehb8g,551284,25716,8010
UCqtBzOjVW0aLVZHaRYu7dpQ,3513061,158779,28127
UCrPoTKfvNvJhG1Ngf6jHB1w,59453,598,148
UCrt6X6pXNRl5rRxaKbzCrvw,694291,28203,6018
UCrxS-EVq-F1pa1J0EAp_v8g,86353,1806,335
UCsFn3MVZBT1_GWFzgv4QF3A,118664,1847,646
UCsGd1uueHeXmEFHaDm1bNKA,6540,224,128
UCsLOtn32074H9Qxy7gjr2LQ,50998,2156,751
UCsNdsFTTBj5jcRJSWeJ8-Xg,2061045,122107,29257
UCsTI3IGlwEd0dfr36ClguRg,11896,713,431
UCsbhQ0l_oRy68zoPpbEYqww,233528,10561,1916
UCsj96MCtBs8u4vB6l0gVgTg,354675,12742,1648
UCsjVQggE8sgv1AskwIT5G7Q,70930,1110,187
UCszx-b-BA9VEqV4EEWXi-4w,93988,1423,314
UCtyPin2V0CzfzZXRl6BVNgQ,21040,496,246
UCuAoYLGCCtkXz0xKuM1MUTQ,381105,12983,2203
UCuHp0PPmcHotQyd_Tj3XC6Q,129437,2218,403
UCuPH6ouleIo8IhmZy65m4pA,852208,17411,5392
UCua87-Wr29nGhVLzZrN2e_g,202419,7561,2693
UCug-CMwBZiEx7asdsIRDHOQ,18266,428,127
UCutQkZpAs9xG0KaooZlnuTw,371509,8793,1508
UCvKSljIz5MuYz0J7GnpvPHQ,151306,695,140
UCvwE_EBBDWM552Vd9v8m9Gg,90424,595,221
UCwFUwxY9TUiVwr4vQ3zX_6w,187881,5907,848
UCwQmqAG_8YlgakD8Dj0DZ4w,273711,6257,1880
UCwjxya3zbM2yadFag9WlbYg,1858684,34968,5525
UCx6OkrMyBqujuyQlwVpYfNw,31323,728,190
UCxec_VgCE-5DUZ8MocKbEdg,90392,1486,1678
UCxmohYAjhc2qD5pYIOwQ3bA,814572,13752,3314
UCy4_zQ59zmS7zO4Dc6vbT_w,162454,1799,1549
UCy82YSU9FxoYhknZ4PFmjrQ,92696,1355,348
UCy9Y4en2y1eR1zwcmFkRMzg,4218683,52345,12462
UCyQpfuhftLvrmjxgEzVH78Q,15392,93,220
UCyw3E91jaNVEPqirEyhMRRw,42919,1247,948
UCzH549YlZhdhIqhtvz7XHmQ,1006081,58558,4809
UCzZ0tUcFR7APjPKdxmgkbJA,58353,2461,252
UCzyBlIm4NE2ch85fY3Y4cOA,1170023,13715,2464
