,users,follower_count
594,wolter_daniel,24.0
595,bayl,1105.0
596,Fahrradhauptst1,1065.0
597,tuessl,2104.0
598,MichaelTanger2,25.0
599,Tim_schaefer_,275.0
600,sinter959,853.0
601,Jan_sagt,1987.0
602,cyberpunk1410,68.0
603,makeratschool,937.0
604,sepp_reitberger,2551.0
605,alxndr2138,25.0
606,DerBash_,338.0
607,mschlenker,725.0
608,recke42,74.0
609,ChessExplained,4989.0
610,abgaserzeuger,16.0
611,tessarakt,882.0
612,oz_online_de,5979.0
613,WPSchill,2413.0
614,fischchristian,669.0
615,benediktg5,624.0
616,cooliopenguin,267.0
617,TilmanWinkler,3954.0
618,HeLo41336524,94.0
619,HVolquardsen,292.0
620,thestanceman1,2151.0
621,Ko_Essen,303.0
622,EinMetaWeiter,91.0
623,vHRainer,0.0
624,sax_dominik,84.0
625,NiNimmrod,1778.0
626,Olaf891162841,8.0
627,HeinerMe,511.0
628,corwin42,51.0
629,steffen100,128.0
630,JoergRupp,2716.0
631,Landmilch1,11.0
632,bruderbru,31.0
633,SPeitsch,721.0
634,derneunte,274.0
635,jaronschaechter,130.0
636,KeelAbove,38.0
637,swisscleandrive,630.0
638,MarkusStadtmann,1.0
639,Soundsteffen,6.0
640,wiesson,192.0
641,_MLohmann,44.0
642,WernerderChamp,654.0
643,VDA_online,7506.0
644,LOGISTIK_HEUTE,7593.0
645,DottoreWingel,66.0
646,BeneHoelker,30.0
647,TilRemen,299.0
648,MarcoPast_Dir,115.0
649,InezHusseni,439.0
650,swisscleantechD,3769.0
651,Megachecker1,50.0
652,droelf_o_mat,8.0
653,Anzugmensch,2013.0
654,ElektroautoMeme,966.0
655,Druckspueler1,535.0
656,Glog78,105.0
657,MoritzZptr,72.0
658,hustenpastille,75.0
659,ArsenalCologne,103.0
660,Gege59535416,3.0
661,jtkrefelder,953.0
662,SvenHan1967,234.0
663,Ingenieur_P,73.0
664,KeElvanSu,77.0
665,moritur_et_ride,1268.0
666,Robowarp1,236.0
667,hgrdlmn,170.0
668,daniel_eik,258.0
669,freizeitradler,597.0
670,mitchback81,314.0
671,chrisX107,533.0
672,Joffrey77855104,4614.0
673,berlinhimmel,18.0
674,k3sro,81.0
675,publictorsten,3333.0
676,nicnowak,220.0
677,CarstenGross,79.0
678,Sebastian14065,25.0
679,Sukani123,2246.0
680,nachrichten_kl,2180.0
681,bnw_ev,6776.0
682,KyleSut35297503,20.0
683,jstrehmann,430.0
684,mlevenhagen,295.0
685,Belfarod1,32.0
686,flobby,1106.0
687,StarneyDude,140.0
688,neuepresse,54446.0
689,JoFrie_,923.0
690,morgenmicha,603.0
691,adrian_santonja,186.0
692,bus_blickpunkt,385.0
693,TomD10919,14.0
694,tronicum,289.0
695,sandraenkhardt,1993.0
696,tuxflo,101.0
697,dachstuber,254.0
698,lumpi_00,442.0
699,fokusenergie,157.0
700,cj5762cj,108.0
701,Pema29249541,14.0
702,SinelliBuster,38.0
703,Hilde16931885,8.0
704,HoeckShk,0.0
705,CetCenseo,6.0
706,EltonRimko,4.0
707,wiwiingit_a,106.0
708,wiwiingit_b,100.0
709,wiwiingit_m,117.0
710,JEDIftGisela,221.0
711,meyerdietmar631,14.0
712,die_miez,170.0
713,pille35,191.0
714,mathiasrichel,15079.0
715,bobbyaxefive,731.0
716,hankarus,74.0
717,meamZ_DE,119.0
718,almankaninchen,2237.0
719,Juergen160419,3.0
720,mrcockpit,45.0
721,7VAMPIR,2861.0
722,MorkOrg,265.0
723,Elke__Kuhn,529.0
724,Benzingeruch,299.0
725,mjw_2nd,326.0
726,DerGiga,492.0
727,EnBW,15519.0
728,_Transport_,1647.0
729,harceh,88.0
730,taxi_heute,717.0
731,med7sportarten,1566.0
732,mb0dm3r,40.0
733,koysino,1430.0
734,MakeCatcontent,69.0
735,dr_larcher,1536.0
736,Coldwater91,20.0
737,buddsen,10.0
738,_MaxDev_,1584.0
739,arifkoray,764.0
740,MineCooky,526.0
741,RsselsheimerEc2,334.0
742,IvIac_Gyver,62.0
743,gforcefabi,8.0
744,XKengine,1.0
745,rainerbartl,1816.0
746,UweWolef,99.0
