,follower_count,user_id,user_name
307,40,1071791276.0,KlausHesse1
308,38,2177805330.0,gjarsen
309,121707,18673738.0,abendblatt
310,2,1.4711076728964137e+18,JogiBr20892265
311,64,1.3791001468778004e+18,Volt_Christoph
312,824,8.440752591292252e+17,DomTHell
313,46,44877618.0,ulfilas72
314,10,1.0890974538764616e+18,MrGrandMr
315,131,2877990820.0,WolfgangRausch
316,138,424526223.0,ClaasBansemer
317,1619,3415928015.0,simonimous
318,390,1.2155550339216753e+18,bitboy0
319,76,3504840255.0,Brainstorm404
320,608,4837916553.0,asg_news
321,820,418963074.0,Dr_Fisheye
322,3360,21852376.0,kuschelkirche
323,405,1.4315204853853757e+18,henning_soel
324,8141,17808184.0,SPDSH
325,610,895824468.0,rolanddor
326,26,1.1398154892349727e+18,hugezwerg
327,4271,1.234150606518063e+18,markusdd5
328,5516,918346004.0,ErnstvAll
329,512,7.412179506407997e+17,gofast_swiss
330,2,1.30476204736904e+18,RimkusAndre
331,14868,43110955.0,SWM_Muenchen
332,1137,9.006252143206441e+17,daily_research
333,5079,1585925018.0,energate_news
334,6635,8.89502518321066e+17,VerkehrNRW
335,336,37429727.0,patrislav
336,671,16440237.0,Unghvary
337,27,256020686.0,Mayer0077
338,4960,962088391.0,Shell_Germany
339,29,3224825687.0,MarkusMeissner1
340,32,1.3240092243939697e+18,Sonderabfallwi1
341,14,1.3309064110401167e+18,ch_emobil
342,237,1543793040.0,42oderwas
343,143,8.089070843643863e+17,chelseafmodel
344,756,3819961.0,filmfacts
345,1088,39592369.0,turbotommi
346,9148,82574080.0,zeitung_energie
347,57,1951828176.0,fettiz
348,750,48688014.0,SynRRg
349,659,7.556765371862917e+17,BUS_2_BUS
350,306,1.3570876587580703e+18,J_DuerrPucher
351,1778,819951098.0,DocPfoe
352,364,2791490235.0,K1ngdaKa88
353,520,32591762.0,Nokius
354,2278,1.3059512285396582e+18,metall_ig
355,3903,48835612.0,hstubner
356,528,1.2238255133047972e+18,DannyHillborou1
357,9522,42106418.0,Tasso2000
358,9,25268430.0,mg33
359,90,1.3047550544240108e+18,Enigma67231918
360,718,628203410.0,SZ_Erding
361,85,1.4736261255197614e+18,123_INFO_DE
362,507,394774071.0,uransoft
363,218,1.330439931118973e+18,DerKasinator
364,712,1.0191979080155587e+18,StefanHeimlich
365,168,16527667.0,herr_geheimrat
366,121,625685012.0,RNaubereit
367,682,52802775.0,AsatothAbaddon
368,6054,49924054.0,handwerksblatt
369,5010,55558817.0,dvz_news
370,111379,1620250698.0,rbb24
371,4,1.1899769380536115e+18,Jaster19679681
372,11947,189884738.0,bdew_ev
373,4134,78052485.0,verbaende
374,32,4428083303.0,jstammi
375,8414,35740289.0,Solarserver
376,394,7.471137540060652e+17,pfbits
377,2737,51724839.0,CptKrustenkaese
378,982,1.304357226916741e+18,WestnetzGmbH
379,73,327710893.0,JoHergesell
380,75,467644299.0,weltenbaeume
381,960,2854676812.0,dr_boese
382,597,3236052874.0,Johannes0105
383,20,1.3816068224072008e+18,eigentlichwari1
384,5735,920724872.0,SaltoBz
385,890,426505647.0,kramkr
386,38,1.2362899293045555e+18,RolfUweHarnisch
387,8,4271336957.0,tilgoepfert
388,1541,741628124.0,musicandscifi
389,496,1.0196438911910461e+18,PhilippEsche
390,1333,7.053957343765422e+17,gwendolan1
391,2010,1.1499757288946893e+18,RobertBoni6
392,8571,7.383682534252872e+17,Elektro_Robin
393,92,107678562.0,voltampere1
394,187,109855736.0,Argbeil
395,285,170605891.0,Timo_u_de
396,24,2169426263.0,schobbestescher
397,37,4754646916.0,bitpertinax
398,70,1.0224025585125212e+18,gustafgans74
399,31,709758673.0,Shenkuizen
