,users,follower_count
380,weltenbaeume,75
381,dr_boese,960
382,Johannes0105,597
383,eigentlichwari1,20
384,SaltoBz,5735
385,kramkr,890
386,RolfUweHarnisch,38
387,tilgoepfert,8
388,musicandscifi,1541
389,PhilippEsche,496
390,gwendolan1,1333
391,RobertBoni6,2010
392,Elektro_Robin,8571
393,voltampere1,92
394,Argbeil,187
395,Timo_u_de,285
396,schobbestescher,24
397,bitpertinax,37
398,gustafgans74,70
399,Shenkuizen,31
400,axelwagnernet,808
401,bahamut8811,66
402,HolgerSmmer1,23
403,UliMolter,1428
404,Tombrones,21
405,Kanone0815,7
406,Birkolo,389
407,AannKrieger,29
408,Pelle_HB,32
409,polterfisch1,52
410,feste_burg,456
411,FauchiOuchi2,3
412,hschwe3449,95
413,Hans_Meier04,29
414,vincealde1,24
415,melvin_zill,1566
416,JimZopf,273
417,Toni_Exp,15
418,DerTreme,10
419,krauthofen,154
420,_tho_,1931
421,haekelstern,217
422,Kematef,86
423,marioroesler_de,938
424,Klaus0604,661
425,Michael56986218,434
426,Raesoneur,63
427,reve_rof_repins,8
428,Nruelaw,2
429,PaySepp,53
430,Martina7806,52
431,Con_Statin,37
432,pete_n78,1
433,jo_kristof,4345
434,pkerchner,1360
435,sebastiankeil,2490
436,bumbesje,1134
437,HarryBalti,9
438,Vortix6,199
439,eva_viehoff,823
440,real_mos,2389
441,LADE_GmbH,165
442,StopAfd,1936
443,echterwegeheld,184
444,goenner_life,16
445,jpsied,88
446,IBartelborth,205
447,ReinhardKessle1,291
448,planwerk,615
449,pm_moeller,60
450,linksbynature,275
451,D_EQAI,92
452,Floki83,72
453,Newsaholic_82,78
454,RolfMecke,3876
455,mpalkowitsch,679
456,Xeradox_Wizard,52
457,AndiHopfgartner,211
458,DerChris79,22
459,Poliauwei,6189
460,Patrick17011,44
461,nickvier,0
462,OcherJ,36
463,TomFragt,113
464,milaromcp,103
465,boeck_daniel,29
466,_TheWarOnDrugs,944
467,AlxFu,166
468,Zwitscherfchsl1,13
469,ElvisAJunker,303
470,RichieTheRich2,100
471,RealDonDenito,323
472,BonsaiAn,76
473,ekstatiker,29
474,michael_h76,1072
475,Josefmueller52,25
476,devilsbrother_6,351
477,JesseVentura86,1517
478,Kampfkekschen,80
479,JacekJashari,20
480,KopfBrause,15
481,GCdevil13,77
482,quasselonkel,46
483,schneebi4,80
484,daq71258486,15
485,FrDnkr,756
486,meisterebner,771
487,BobGerbilkiller,391
488,TeKa_lebt,4
489,IoT_CloudWork3r,500
490,greenla68908505,139
491,UlfEsdert,32
492,Pascal_086,11
493,TomBucker,375
494,FabianLaasch,1794
495,yrow97,502
